DATE,vwretd,vwretx
20130607,0.011377,0.011350
20130610,0.000191,0.000125
20130611,-0.010882,-0.010910
20130612,-0.008128,-0.008486
20130613,0.015053,0.014942
20130614,-0.005377,-0.005392
20130617,0.007181,0.007172
20130618,0.007361,0.007321
20130619,-0.013412,-0.013432
20130620,-0.025753,-0.025855
20130621,0.001448,0.001360
20130624,-0.012324,-0.012423
20130625,0.010332,0.010244
20130626,0.008924,0.008623
20130627,0.008116,0.007912
20130628,-0.002799,-0.002845
20130701,0.006726,0.006623
20130702,-0.001399,-0.001570
20130703,0.000415,0.000405
20130705,0.009024,0.008987
20130708,0.005169,0.004970
20130709,0.007721,0.007698
20130710,0.000647,0.000574
20130711,0.014627,0.014485
20130712,0.002477,0.002470
20130715,0.002322,0.002309
20130716,-0.003777,-0.003781
20130717,0.002995,0.002917
20130718,0.005452,0.005378
20130719,0.001479,0.001452
20130722,0.002799,0.002778
20130723,-0.001169,-0.001208
20130724,-0.004917,-0.004932
20130725,0.003966,0.003932
20130726,0.000144,0.000136
20130729,-0.003740,-0.003858
20130730,0.000411,0.000350
20130731,0.000197,0.000064
20130801,0.012253,0.012112
20130802,0.001334,0.001301
20130805,-0.000732,-0.000847
20130806,-0.006572,-0.006604
20130807,-0.004528,-0.004814
20130808,0.005442,0.005249
20130809,-0.001919,-0.002041
20130812,-0.000142,-0.000170
20130813,0.001508,0.001302
20130814,-0.004087,-0.004251
20130815,-0.012965,-0.013096
20130816,-0.002934,-0.002988
